,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
0,El padrino,The Godfather,1972,175 min.,Estados Unidos,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo (Novela: Mario Puzo)","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano, Sterling Hayden, Gianni Russo, Rudy Bond, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, Franco Citti, Lenny Montana, Al Martino, Joe Spinell, Simonetta Stefanelli, Morgana King, Alex Rocco, John Martino, Salvatore Corsitto, Richard Bright, Tony Giorgio, Vito Scotti, Jeannie Linero, Julie Gregg, Angelo Infanti, Corrado Gaipa, Saro Urzi","Paramount Pictures, Alfran Productions",Drama | Mafia. Crimen. Años 40. Años 50. Familia. Película de culto,"América, años 40. Don Vito Corleone (Marlon Brando) es el respetado y temido jefe de una de las cinco familias de la mafia de Nueva York. Tiene cuatro hijos: Connie (Talia Shire), el impulsivo Sonny (James Caan), el pusilánime Fredo (John Cazale) y Michael (Al Pacino), que no quiere saber nada de los negocios de su padre. Cuando Corleone, en contra de los consejos de 'Il consigliere' Tom Hagen (Robert Duvall), se niega a participar en el negocio de las drogas, el jefe de otra banda ordena su asesinato. Empieza entonces una violenta y cruenta guerra entre las familias mafiosas. (FILMAFFINITY)","['1972: 3 Oscars: Mejor película, Actor (Marlon Brando), Guión adaptado. 11[10*] nom.', '1972: 5 Globos de Oro: Película (Drama), Director, Actor (Brando), Guión y BSO', '1972: Premios BAFTA: Mejor música. 5 nominaciones, incluyendo Mejor actor (Brando)', '1972: Círculo de Críticos de Nueva York: Mejor actor secundario (Duvall). 4 nominaciones', '1972: National Board of Review: Mejor actor sec. (Pacino) y Mejores 10 films del año', '1972: Sindicato de Directores (DGA): Mejor director', '1972: Sindicato de Guionistas (WGA): Mejor guión adaptado drama', '1972: Premios David di Donatello: Mejor film extranjero y Premio Especial (Al Pacino)']",9.0,170776,14,1,0,https://pics.filmaffinity.com/the_godfather-488102675-mmed.jpg,../images/Elpadrino1972.jpg,9.2,1642853
1,El padrino. Parte II,The Godfather: Part II,1974,200 min.,Estados Unidos,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo (Novela: Mario Puzo)","Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, Talia Shire, Gastone Moschin, Michael V. Gazzo, Marianna Hill, Bruno Kirby, Danny Aiello, Harry Dean Stanton, Troy Donahue, Roger Corman, Morgana King, Joe Spinell, Richard Bright, James Caan, Dominic Chianese, Francesca de Sapio, G.D. Spradlin, Frank Sivero, Oreste Baldini, Tom Rosqui, Leopoldo Trieste, Amerigo Tot, John Aprea, Abe Vigoda, Gianni Russo, Maria Carta, Mario Cotone, Fay Spain, James Murdock, Carmine Caridi, William Bowers, Joseph Della Sorte, Carmen Argenziano, Kathleen Beller, Ignazio Pappalardo, Peter Donat, Tom Dahlgren, Ivonne Coll, Richard Watson, Erica Yohn",Coppola Co. Production (Productor: Francis Ford Coppola) (Distribuidora: Paramount Pictures),Drama | Mafia. Crimen. Familia. Años 1910-1919. Años 20. Años 50. Secuela. Precuela. Nochevieja / Año nuevo,"Continuación de la historia de los Corleone por medio de dos historias paralelas: la elección de Michael como jefe de los negocios familiares y los orígenes del patriarca, Don Vito Corleone, primero en su Sicilia natal y posteriormente en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York. (FILMAFFINITY)","['1974: 6 Oscars, incluyendo Película, Director, Actor de reparto (De Niro). 11 nom.', '1974: Globos de Oro: 6 nominaciones, incluyendo Mejor película - Drama', '1974: Círculo de Críticos de Nueva York: 4 nominaciones, incluyendo mejor película', '1974: Sindicato de Directores (DGA): Mejor director', '1974: Sindicato de Guionistas (WGA): Mejor guión adaptado drama', '1975: Premios BAFTA: Mejor actor (Al Pacino). 4 nominaciones']",8.9,136003,13,1,0,https://pics.filmaffinity.com/the_godfather_part_ii-617901053-mmed.jpg,../images/ElpadrinoParteII1974.jpg,9.0,1144217
2,Doce hombres sin piedad,12 Angry Men,1957,95 min.,Estados Unidos,Sidney Lumet,Reginald Rose (Obra: Reginald Rose),"Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam, Ed Begley, John Fiedler, Robert Webber, Jack Klugman, George Voskovec, Joseph Sweeney, Edward Binns, Billy Nelson, John Savoca, Rudy Bond, James Kelly","Metro-Goldwyn-Mayer (MGM), Orion-Nova Productions",Drama. Intriga | Drama judicial / Abogados/as,Los doce miembros de un jurado deben juzgar a un adolescente acusado de haber matado a su padre. Todos menos uno están convencidos de la culpabilidad del acusado. El que disiente intenta con sus razonamientos introducir en el debate una duda razonable que haga recapacitar a sus compañeros para que cambien el sentido de su voto. (FILMAFFINITY),"['1957: 3 nominaciones al Oscar: Mejor película, director, guión adaptado', '1957: Globos de Oro: 4 nom., incluyendo mejor película drama, director y actor', '1957: Premios BAFTA: mejor actor extranjero (Fonda). Nominada mejor película', '1957: Sindicato de Directores (DGA): Nominada a Mejor director', '1957: Sindicato de Guionistas (WGA): Mejor guión drama', '1957: Festival de Berlín: Oso de Oro, Premio OCIC', '1957: Círculo de Críticos de Nueva York: Nominada a mejor película y mejor director', '1957: National Board of Review: Top 10 Mejores películas del año']",8.7,67185,12,1,0,https://pics.filmaffinity.com/12_angry_men-122099105-mmed.jpg,../images/Docehombressinpiedad1957.jpg,9.0,700114
3,La lista de Schindler,Schindler's List,1993,195 min.,Estados Unidos,Steven Spielberg,Steven Zaillian (Novela: Thomas Keneally),"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Norbert Weisser, Martin S. Bergmann, Mark Ivanir, Malgorzata Gebel, Shmuel Levy, Michael Schneider, Joachim Paul Assböck, Branko Lustig, Götz Otto","Universal Pictures, Amblin Entertainment",Drama | Nazismo. Holocausto. Basado en hechos reales. II Guerra Mundial,"Oskar Schindler (Liam Neeson), un empresario alemán de gran talento para las relaciones públicas, busca ganarse la simpatía de los nazis de cara a su beneficio personal. Después de la invasión de Polonia por los alemanes en 1939, Schindler consigue, gracias a sus relaciones con los altos jerarcas nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente, gracias sobre todo a su gerente Itzhak Stern (Ben Kingsley), también judío. Pero conforme la guerra avanza, Schindler y Stern comienzan ser conscientes de que a los judíos que contratan, los salvan de una muerte casi segura en el temible campo de concentración de Plaszow, que lidera el Comandante nazi Amon Goeth (Ralph Fiennes), un hombre cruel que disfruta ejecutando judíos. (FILMAFFINITY)","['1993: 7 Oscars incluyendo mejor película y director. 12 nominaciones', '1993: 3 Globos de Oro: Película: drama, guión, director. 6 nominaciones', '1993: 7 Premios BAFTA, incluyendo mejor película y director. 13 nom.', '1993: National Board of Review: Mejor película. Mejores 10 películas del año', '1993: Círculo de Críticos de Nueva York: Mejor película, actor sec. y fotografía. 5 nom.', '1993: Asociación de Críticos de Los Angeles: Mejor película, fotografía y diseño de prod.', '1993: Asociación de Críticos de Chicago: 6 premios, incl. Mejor película. 7 nom.', '1993: Asociación de Críticos de Boston: 4 premios, incl. mejor película y director', '1993: Sindicato de Productores (PGA): Mejor película', '1993: Sindicato de Directores (DGA): Mejor director', '1993: Sindicato de Guionistas (WGA): Mejor guión adaptado', '1994: Premios César: Nominada a la mejor película extranjera', '1994: Premios David di Donatello: Nominada a mejor film extranjero']",8.6,171172,12,1,0,https://pics.filmaffinity.com/schindler_s_list-473662617-mmed.jpg,../images/LalistadeSchindler1993.jpg,8.9,1226818
4,Testigo de cargo,Witness for the Prosecution,1957,114 min.,Estados Unidos,Billy Wilder,"Billy Wilder, Harry Kurnitz (Teatro: Agatha Christie)","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, Una O'Connor, Henry Daniell, Norma Varden, Torin Thatcher, Ian Wolfe, Francis Compton",United Artists,Intriga. Drama | Drama judicial / Abogados/as,"Leonard Vole (Tyrone Power), un hombre joven y atractivo, es acusado del asesinato de la señora French, una rica anciana con quien mantenía una relacion de carácter amistoso. El presunto móvil del crimen era la posibilidad de heredar los bienes de la difunta. A pesar de que las pruebas en su contra son demoledoras, Sir Wilfrid Roberts (Charles Laughton), un prestigioso abogado criminalista londinense, se hace cargo de su defensa. (FILMAFFINITY)","['1957: 6 nominaciones al Oscars, incluyendo película, director', '1957: 5 nominaciones al Globos de Oro, incluyendo película (drama), director', '1958: Premios BAFTA: Nominada a mejor actor extranjero (Charles Laughton)', '1957: Sindicato de Directores (DGA): Nominada a Mejor director', '1957: Premios David di Donatello: Mejor actor extranjero (Laughton) (ex aequo)']",8.6,42779,9,1,0,https://pics.filmaffinity.com/witness_for_the_prosecution-236651370-mmed.jpg,../images/Testigodecargo1957.jpg,8.4,110653
5,Luces de la ciudad,City Lights,1931,81 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia, Hank Mann, Jack Alexander, Tom Dempsey, Henry Bergman",United Artists,Comedia. Romance | Cine mudo. Pobreza. Comedia romántica. Comedia dramática,Un pobre vagabundo (Charles Chaplin) pasa mil y un avatares para conseguir dinero y ayudar a una pobre chica ciega (Virginia Cherrill) de la que se ha enamorado. (FILMAFFINITY),['1931: National Board of Review (NBR): 10 mejores films'],8.6,31579,8,0,0,https://pics.filmaffinity.com/city_lights-825971402-mmed.jpg,../images/Lucesdelaciudad1931.jpg,8.5,169839
6,Cadena perpetua,The Shawshank Redemption,1994,142 min.,Estados Unidos,Frank Darabont,Frank Darabont (Relato: Stephen King),"Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows, William Sadler, Mark Rolston, Clancy Brown, David Proval, Jeffrey DeMunn, Jude Ciccolella, Don McManus, Alfonso Freeman, Brian Libby, Mack Miles, Frank Medrano, Larry Brandenburg, Neil Giuntoly, Joseph Ragno, Paul McCrane, Renee Blaine, Scott Mann, John Horton, Gordon Greene, V.J. Foster, Morgan Lund, Gary Lee Davis, Neil Summers, Ned Bellamy, Joe Pecoraro, Brian Delate, Paul Kennedy, Dorothy Silver, Robert Haley, Dana Snyder, Ken Magee, Bill Bolender, Dion Anderson, James Kisicki, Rohn Thomas, Brian Brophy",Castle Rock Entertainment (Distribuidora: Columbia Pictures),Drama | Drama carcelario. Amistad. Años 40. Años 50. Película de culto,"Acusado del asesinato de su mujer, Andrew Dufresne (Tim Robbins), tras ser condenado a cadena perpetua, es enviado a la cárcel de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros de prisión, especialmente de Red (Morgan Freeman), el jefe de la mafia de los sobornos. (FILMAFFINITY)","['1994: Oscar: 7 nominaciones, incluyendo mejor película y actor (Freeman)', '1994: Globo de Oro: 2 nominaciones: mejor actor drama (Freeman) y guión', '1994: Sindicato de Productores (PGA): Nominada a Mejor película', '1994: Sindicato de Directores (DGA): Nominada a Mejor director', '1994: Sindicato de Guionistas (WGA): Nominada a Mejor guión adaptado', '1994: Sindicato de Actores (SAG): 2 nom. Mejor actor (Freeman y Robbins)', '1994: Asociación de Críticos de Chicago: 3 nominaciones, incluyendo Mejor película']",8.6,165151,11,1,0,https://pics.filmaffinity.com/the_shawshank_redemption-576140557-mmed.jpg,../images/Cadenaperpetua1994.jpg,9.3,2372335
7,Pulp Fiction,Pulp Fiction,1994,153 min.,Estados Unidos,Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Tim Roth, Amanda Plummer, María de Medeiros, Eric Stoltz, Rosanna Arquette, Christopher Walken, Paul Calderon, Bronagh Gallagher, Peter Greene, Stephen Hibbert, Angela Jones, Phil LaMarr, Robert Ruth, Julia Sweeney, Quentin Tarantino, Frank Whaley, Duane Whitaker, Steve Buscemi, Burr Steers","Miramax, Band Apart, Jersey Films (Productor: Lawrence Bender)",Thriller | Crimen. Historias cruzadas. Película de culto. Comedia negra,"Jules y Vincent, dos asesinos a sueldo con no demasiadas luces, trabajan para el gángster Marsellus Wallace. Vincent le confiesa a Jules que Marsellus le ha pedido que cuide de Mia, su atractiva mujer. Jules le recomienda prudencia porque es muy peligroso sobrepasarse con la novia del jefe. Cuando llega la hora de trabajar, ambos deben ponerse ""manos a la obra"". Su misión: recuperar un misterioso maletín. (FILMAFFINITY)","['1994: Oscar: Mejor guión original. 7 nominaciones, incluyendo Mejor película', '1994: Globo de Oro: Mejor guión. 6 nominaciones', '1994: Festival de Cannes: Palma de Oro', '1994: 2 Premios BAFTA: Mejor actor sec. (Samuel L. Jackson) y guión. 9 nom.', '1994: Premios Cesar: Nominada a Mejor película extranjera', '1994: Premios David di Donatello: Mejor film extranj. y actor extranj. (Travolta). 3 nom.', '1994: National Board of Review: Mejor película (ex-aequo)', '1994: Círculo de Críticos de Nueva York: Mejor director y mejor guión. 5 nominaciones', '1994: Asociación de Críticos de Los Angeles: Mejor película, dirección, actor y guion', '1994: Premios Independent Spirit: Mejor película, director, actor y guión. 6 nominaciones', '1994: Sindicato de Productores (PGA): Nominada a Mejor película', '1994: Sindicato de Directores (DGA): Nominada a Mejor director', '1994: Sindicato de Actores (SAG): Nom. a Mejor actor (Travolta), actor sec. (Jackson) y actriz sec. (Thurman)', '1994: Asociación de Críticos de Chicago: Mejor director y guión. 6 nominaciones', '1994: Asociación de Críticos de Boston: 3 premios, incl. mejor película y mejor director']",8.6,198832,9,2,0,https://pics.filmaffinity.com/pulp_fiction-210382116-mmed.jpg,../images/PulpFiction1994.jpg,8.9,1848404
8,El gran dictador,The Great Dictator,1940,128 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Carter De Haven, Grace Hayle, Maurice Moscovitch, Billy Gilbert",United Artists,Comedia | Sátira. Nazismo. II Guerra Mundial. Propaganda,"Un humilde barbero judío que combatió con el ejército de Tomania en la Primera Guerra Mundial vuelve a su casa años después del fin del conflicto. Amnésico a causa de un accidente de avión, no recuerda prácticamente nada de su vida pasada, y no conoce la situación política actual del país: Adenoid Hynkel, un dictador fascista y racista, ha llegado al poder y ha iniciado la persecución del pueblo judío, a quien considera responsable de la situación de crisis que vive el país. Paralelamente, Hynkel y sus colaboradores han empezado a preparar una ofensiva militar destinada a la conquista de todo el mundo.","['1940: 5 nominaciones al Oscar, incluyendo mejor película, actor (Chaplin) y guión', '1940: Círculo de Críticos de Nueva York: Mejor actor (Charles Chaplin)']",8.6,84069,8,0,1,https://pics.filmaffinity.com/the_great_dictator-416205081-mmed.jpg,../images/Elgrandictador1940.jpg,8.4,205413
9,Tiempos modernos,Modern Times,1936,89 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Chester Conklin, Stanley Stanford, Hank Mann, Louis Natheaux, Allan Garcia",United Artists,Comedia | Sátira. Comedia dramática. Drama social. Trabajo/empleo. Cine mudo. Película de culto,"Extenuado por el frenético ritmo de la cadena de montaje, un obrero metalúrgico acaba perdiendo la razón. Después de recuperarse en un hospital, sale y es encarcelado por participar en una manifestación en la que se encontraba por casualidad. En la cárcel, también sin pretenderlo, ayuda a controlar un motín, gracias a lo cual queda en libertad. Una vez fuera, reemprende la lucha por la supervivencia en compañía de una joven huérfana a la que conoce en la calle. (FILMAFFINITY)",['1936: National Board of Review (NBR): Top 10 - Mejores películas del año'],8.6,61660,11,0,0,https://pics.filmaffinity.com/modern_times-287431985-mmed.jpg,../images/Tiemposmodernos1936.jpg,8.5,220847
